nom,prenom,titre,etude,adresse,npa,ville,date_inscription,canton
Adank-Janett,Selina,MLaw,Kunz Schmid Rechtsanwälte und Notare AG,Gäuggelistrasse 1,7001,Chur,06.07.2018,GR
Allenspach,Claudio,lic. iur.,Allenspach Advokatur,Hofstrasse 11,7000,Chur,17.12.2004,GR
Allenspach,Reto,lic. iur.,Reto Allenspach Rechtsanwalt,Quaderstrasse 5,7001,Chur,17.12.2004,GR
Annen,Reto Tony,lic. iur.,Kanzlei Kornplatz AG,Kornplatz 2,7001,Chur,16.12.2005,GR
Augustin,Massimo Gianni,MLaw,Fryberg Augustin Breitenmoser Partner,Quaderstrasse 8,7001,Chur,29.06.2021,GR
Augustin,Vincent Alois,Dr. iur.,Fryberg Augustin Breitenmoser Partner,Quaderstrasse 8,7001,Chur,13.01.1984,GR
Bänziger,Martina Gerda,lic. iur.,BänzigerPallySchuler KLG,Bahnhofstrasse 7,7001,Chur,16.10.2009,GR
Bänziger,Otmar,Dr. iur.,BänzigerPallySchuler KLG,Bahnhofstrasse 7,7001,Chur,20.06.1972,GR
Baretta,Mazzoni Ylenia,lic. iur.,SwissLegal Lardi & Partner AG,Reichsgasse 65,7000,Chur,19.01.2007,GR
Bärlocher,Christian,lic. iur.,Christian Bärlocher Rechtsanwalt,Rüfegasse 12A,7208,Malans,02.11.1993,GR
Barth,Thomas,lic. iur.,Barth & Partner Advokatur AG,Sassalstrasse 44,7001,Chur,22.06.2001,GR
Battaglia,Josi,Dr. iur.,Advokaturbüro Josi Battaglia,Crasta 6,7503,Samedan,05.07.1972,GR
Benz,Patrick Guido,lic. iur.,Caviezel Partner AG,Masanserstrasse 136,7000,Chur,18.12.1992,GR
Berther,Placi,lic. iur.,Advokaturbüro Berther Via,Alpsu 119,7187,Camischolas,12.01.1990,GR
Bettio-Peng,Karin,lic. iur.,Advokatur Karin Peng,Falknisstrasse 10,7205,Zizers,26.09.2013,GR
Bianchi,Silvio C.,Dr. iur.,Kanzlei am Martinsplatz St.,Martinsplatz 8,7001,Chur,09.12.1980,GR
Biancotti,Marco Beniamino Dino,lic. iur.,Avv. Marco Biancotti Via,Maistra 39,7500,St. Moritz,14.01.1988,GR
Bieger,Andri,,M.A. HSG Brändli Rechtsanwälte AG,Aquasanastrasse 8,7000,Chur,07.11.2023,GR
Blumenthal,Christina,,M.A. HSG Blumenthal Advokatur,Obergass 1,7414,Fürstenau,30.05.2013,GR
Blumer,Elisabeth,lic. iur.,Advokaturbüro Elisabeth Blumer,Quaderstrasse 5,7001,Chur,09.01.1987,GR
Bondolfi,Ilario,lic. iur.,Studio legale Ilario Bondolfi,Hofstrasse 11,7000,Chur,13.12.1996,GR
Bongulielmi,Reto Gioachino Pietro,lic. iur.,Studio legale Reto Bongulielmi Residenza al Mai,,6535,Roveredo,03.07.1967,GR
Bonorand,Jachen Curdin,Dr. iur.,Büro Bonorand,Süsswinkelgasse 20,7001,Chur,14.01.1988,GR
Brändli,Tobias,MLaw,Brändli Rechtsanwälte AG,Aquasanastrasse 8,7000,Chur,11.11.2014,GR
