nom_complet,titre_academique,ville,canton
Aepli Michael,"Dr.iur., LL.M.",Zug,ZG
Aeschi Othmar,"lic.iur., LL.M.",Cham,ZG
Amstad-​Dittli Alexandra,MLaw,Walchwil,ZG
Andermatt Philipp,"lic.iur., LL.M.",Zug,ZG
Arnold Lisa,MLaw,Zug,ZG
Arnold Mirjam,MLaw,Zug,ZG
Arnold Peter B.,lic.iur.,Zug,ZG
Bachmann Philipp,"lic.iur., LL.M.",Zug,ZG
Bächtold Thomas,Dr.iur. et lic.rer.publ.,Baar,ZG
Baier Michael,MLaw,Zug,ZG
Balmer Kurt,lic.iur.,Zug,ZG
Balmer Martina,MLaw,Zug,ZG
Barmettler Cyrill,"MLaw, LL.M.",Zug,ZG
Baumann Andreas,lic.iur.,Cham,ZG
Baumann Raphael,MLaw,Zug,ZG
Baumann Remo,lic.iur.,Zug,ZG
Baumgartner Dominic,MLaw,Zug,ZG
Benz Diego,lic.iur.,Zug,ZG
Beranek Zanon Nicole,lic.iur.,Zug,ZG
Berchier Theiler Katia A.,MLaw,Zug,ZG
Berchtold Christoph,"MLaw, LL.M.",Zug,ZG
Bertschi Urs,lic.iur.,Zug,ZG
Berweger Martin,M.A. HSG,Zug,ZG
Bill Daniel,lic.iur.,Steinhausen,ZG
Bischof Jacqueline,MLaw,Baar,ZG
Bitzi Bruno F.,Dr.iur.,Zug,ZG
Blättler Christian,MLaw,Zug,ZG
Blattmann Micha,"lic.iur., LL.M.",Neuheim,ZG
Blum Richard E.,Dr.iur.,Zug,ZG
Blum Simon,Dr.iur.,Zug,ZG
Blunschi Stefan,"MLaw, LL.M.",Zug,ZG
Boccali Olivia,MLaw,Zug,ZG
Boccato Chiara,MLaw,Zug,ZG
Bodmer David,"Dr.oec. et MLaw, LL.M.",Zug,ZG
Bollag Jacob,Dr.iur.,Zug,ZG
Bolliger Dominique,MLaw,Zug,ZG
Brand Jürg,Fürsprecher,Zug,ZG
Brandenberg Ernst A.,Dr.iur.,Zug,ZG
Brandenberg Manuel,"Dr.iur., Executive M.B.L.-HSG",Zug,ZG
Brändli Tobias,MLaw,Zug,ZG
Brochon Joël,MLaw,Baar,ZG
Bruderer Selina,"MLaw, LL.M.",Baar,ZG
Brüggemann Silja,MLaw,Zug,ZG
Brügger Denise,"lic.iur., LL.M.",Zug,ZG
Bruhin Roland,"Dr.iur., Executive M.B.L.-HSG",Zug,ZG
Bründler Lukas,M.A. HSG,Zug,ZG
Brusa Yara,MLaw,Zug,ZG
Bünter Mario,MLaw,Zug,ZG
Burger Jürg M.,"lic.iur., LL.M.",Zug,ZG
Burri-​Bucher Doris,lic.iur.,Zug,ZG
Burri-Wenzel Anton,MLaw,Rotkreuz,ZG
Bussmann Beat,lic.iur.,Zug,ZG
Bussmann Raoul,Dr.iur.,Zug,ZG
Bussmann Samuel,Dr.iur.,Zug,ZG
Camenzind Matthias,lic.iur.,Zug,ZG
Caprez Marco,MLaw,Zug,ZG
Castell-​Bachmann Irène,lic.iur.,Zug,ZG
Christen Andrea,"MLaw, LL.M.",Zug,ZG
Christmann Thomas,lic.iur.,Zug,ZG
Colak David,MLaw,Zug,ZG
Compagnoni Tatjana,MLaw,Zug,ZG
Dähler Marie-​Anne,MLaw,Zug,ZG
Deecke Rainer,lic.iur.,Zug,ZG
Degen Carmela,MLaw,Steinhausen,ZG
de la Cruz Böhringer Carmen,lic.iur.,Baar,ZG
Demmer Nathan,MLaw,Zug,ZG
Derungs Andreas,lic.iur.,Zug,ZG
Diedrichsen Cornelia,lic.iur.,Zug,ZG
Diethelm Jeannine,MLaw,Zug,ZG
Dormann Markus,lic.iur.,Baar,ZG
Duarte Ludovic,M.B.A.,Zug,ZG
Ducrey Yves,MLaw,Hünenberg,ZG
Durrer Debora,MLaw,Zug,ZG
Dzaferi Zani,MLaw,Zug,ZG
Eckenstein Alexander,lic.iur.,Baar,ZG
Eglin Ion,lic.iur.,Zug,ZG
Eiholzer Julia,MLaw,Zug,ZG
Eisenring Martin,Dr.iur.,Zug,ZG
Elms Stephanie C.,MLaw,Zug,ZG
Endres Michael,"lic.iur., Executive M.B.L.-HSG",Cham,ZG
Fässler Lukas,lic.iur.,Baar,ZG
Fehr Marco,MLaw,Baar,ZG
